INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
53,10007141,NWES,The University of Central Lancashire,11,Computer Science and Informatics,Z,38
53,10007141,NWES,The University of Central Lancashire,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,10
53,10007141,NWES,The University of Central Lancashire,15,General Engineering,Z,38
53,10007141,NWES,The University of Central Lancashire,16,"Architecture, Built Environment and Planning",Z,41
53,10007141,NWES,The University of Central Lancashire,17,"Geography, Environmental Studies and Archaeology",Z,9
53,10007141,NWES,The University of Central Lancashire,18,Economics and Econometrics,Z,7
53,10007141,NWES,The University of Central Lancashire,19,Business and Management Studies,Z,53
53,10007141,NWES,The University of Central Lancashire,20,Law,Z,34
53,10007141,NWES,The University of Central Lancashire,21,Politics and International Studies,Z,6
53,10007141,NWES,The University of Central Lancashire,22,Social Work and Social Policy,Z,55
53,10007141,NWES,The University of Central Lancashire,23,Sociology,Z,29
53,10007141,NWES,The University of Central Lancashire,25,Education,Z,54
53,10007141,NWES,The University of Central Lancashire,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,74
53,10007141,NWES,The University of Central Lancashire,27,Area Studies,Z,9
53,10007141,NWES,The University of Central Lancashire,28,Modern Languages and Linguistics,Z,24
53,10007141,NWES,The University of Central Lancashire,29,English Language and Literature,Z,18
53,10007141,NWES,The University of Central Lancashire,30,History,Z,15
53,10007141,NWES,The University of Central Lancashire,34,"Art and Design: History, Practice and Theory",Z,61
53,10007141,NWES,The University of Central Lancashire,35,"Music, Drama, Dance and Performing Arts",Z,29
53,10007141,NWES,The University of Central Lancashire,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,40
10,10007816,LOND,Central School of Speech and Drama,35,"Music, Drama, Dance and Performing Arts",Z,22
10,10007816,LOND,Central School of Speech and Drama,N/A,UoA not recorded,Not recorded,27
11,10007848,NWES,University of Chester,2,"Public Health, Health Services and Primary Care",Z,69
11,10007848,NWES,University of Chester,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,30
11,10007848,NWES,University of Chester,4,"Psychology, Psychiatry and Neuroscience",Z,31
11,10007848,NWES,University of Chester,5,Biological Sciences,Z,6
11,10007848,NWES,University of Chester,6,"Agriculture, Veterinary and Food Science",Z,7
11,10007848,NWES,University of Chester,10,Mathematical Sciences,Z,7
11,10007848,NWES,University of Chester,11,Computer Science and Informatics,Z,5
11,10007848,NWES,University of Chester,15,General Engineering,Z,10
11,10007848,NWES,University of Chester,17,"Geography, Environmental Studies and Archaeology",A,9
11,10007848,NWES,University of Chester,17,"Geography, Environmental Studies and Archaeology",B,4
11,10007848,NWES,University of Chester,17,"Geography, Environmental Studies and Archaeology",Z,8
11,10007848,NWES,University of Chester,19,Business and Management Studies,Z,53
11,10007848,NWES,University of Chester,20,Law,Z,8
11,10007848,NWES,University of Chester,21,Politics and International Studies,Z,9
11,10007848,NWES,University of Chester,22,Social Work and Social Policy,Z,20
11,10007848,NWES,University of Chester,25,Education,Z,60
11,10007848,NWES,University of Chester,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,23
11,10007848,NWES,University of Chester,27,Area Studies,Z,8
11,10007848,NWES,University of Chester,28,Modern Languages and Linguistics,Z,4
11,10007848,NWES,University of Chester,29,English Language and Literature,Z,21
11,10007848,NWES,University of Chester,30,History,Z,9
11,10007848,NWES,University of Chester,33,Theology and Religious Studies,Z,17
11,10007848,NWES,University of Chester,34,"Art and Design: History, Practice and Theory",Z,15
11,10007848,NWES,University of Chester,35,"Music, Drama, Dance and Performing Arts",Z,21
11,10007848,NWES,University of Chester,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,21
82,10007137,SEAS,The University of Chichester,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,2
82,10007137,SEAS,The University of Chichester,4,"Psychology, Psychiatry and Neuroscience",Z,6
82,10007137,SEAS,The University of Chichester,19,Business and Management Studies,Z,19
82,10007137,SEAS,The University of Chichester,22,Social Work and Social Policy,Z,20
82,10007137,SEAS,The University of Chichester,25,Education,Z,56
82,10007137,SEAS,The University of Chichester,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,38
82,10007137,SEAS,The University of Chichester,29,English Language and Literature,Z,12
82,10007137,SEAS,The University of Chichester,30,History,Z,9
82,10007137,SEAS,The University of Chichester,33,Theology and Religious Studies,Z,4
82,10007137,SEAS,The University of Chichester,34,"Art and Design: History, Practice and Theory",Z,5
82,10007137,SEAS,The University of Chichester,35,"Music, Drama, Dance and Performing Arts",Z,37
115,10001478,LOND,The City University†,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,162
115,10001478,LOND,The City University†,4,"Psychology, Psychiatry and Neuroscience",Z,37
115,10001478,LOND,The City University†,10,Mathematical Sciences,Z,20
115,10001478,LOND,The City University†,11,Computer Science and Informatics,Z,51
115,10001478,LOND,The City University†,15,General Engineering,Z,86
115,10001478,LOND,The City University†,18,Economics and Econometrics,Z,26
115,10001478,LOND,The City University†,19,Business and Management Studies,Z,156
115,10001478,LOND,The City University†,20,Law,Z,70
115,10001478,LOND,The City University†,21,Politics and International Studies,Z,15
115,10001478,LOND,The City University†,23,Sociology,Z,39
115,10001478,LOND,The City University†,25,Education,Z,1
115,10001478,LOND,The City University†,28,Modern Languages and Linguistics,Z,4
115,10001478,LOND,The City University†,35,"Music, Drama, Dance and Performing Arts",Z,14
115,10001478,LOND,The City University†,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,39
199,10001653,LOND,Conservatoire for Dance and Drama,N/A,UoA not recorded,Not recorded,4
201,10007761,LOND,Courtauld Institute of Art,34,"Art and Design: History, Practice and Theory",Z,34
56,10001726,WMID,Coventry University,2,"Public Health, Health Services and Primary Care",Z,30
56,10001726,WMID,Coventry University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,168
56,10001726,WMID,Coventry University,4,"Psychology, Psychiatry and Neuroscience",Z,52
56,10001726,WMID,Coventry University,5,Biological Sciences,Z,49
56,10001726,WMID,Coventry University,6,"Agriculture, Veterinary and Food Science",Z,1
56,10001726,WMID,Coventry University,7,Earth Systems and Environmental Sciences,Z,115
56,10001726,WMID,Coventry University,8,Chemistry,Z,3
56,10001726,WMID,Coventry University,10,Mathematical Sciences,Z,28
56,10001726,WMID,Coventry University,11,Computer Science and Informatics,Z,64
56,10001726,WMID,Coventry University,14,Civil and Construction engineering,Z,25
56,10001726,WMID,Coventry University,15,General Engineering,Z,36
56,10001726,WMID,Coventry University,16,"Architecture, Built Environment and Planning",Z,13
56,10001726,WMID,Coventry University,17,"Geography, Environmental Studies and Archaeology",Z,14
56,10001726,WMID,Coventry University,18,Economics and Econometrics,Z,20
56,10001726,WMID,Coventry University,19,Business and Management Studies,Z,272
56,10001726,WMID,Coventry University,20,Law,Z,30
56,10001726,WMID,Coventry University,21,Politics and International Studies,Z,35
56,10001726,WMID,Coventry University,22,Social Work and Social Policy,Z,5
56,10001726,WMID,Coventry University,23,Sociology,Z,26
56,10001726,WMID,Coventry University,25,Education,Z,15
56,10001726,WMID,Coventry University,28,Modern Languages and Linguistics,Z,12
56,10001726,WMID,Coventry University,29,English Language and Literature,Z,20
56,10001726,WMID,Coventry University,30,History,Z,3
56,10001726,WMID,Coventry University,32,Philosophy,Z,1
56,10001726,WMID,Coventry University,34,"Art and Design: History, Practice and Theory",Z,75
56,10001726,WMID,Coventry University,35,"Music, Drama, Dance and Performing Arts",Z,18
56,10001726,WMID,Coventry University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,31
56,10001726,WMID,Coventry University,N/A,UoA not recorded,Not recorded,42
2,10007822,EAST,Cranfield University,6,"Agriculture, Veterinary and Food Science",Z,48
2,10007822,EAST,Cranfield University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,276
2,10007822,EAST,Cranfield University,19,Business and Management Studies,Z,105
2,10007822,EAST,Cranfield University,21,Politics and International Studies,Z,8
2,10007822,EAST,Cranfield University,N/A,UoA not recorded,Not recorded,168
206,10006427,SEAS,University for the Creative Arts,34,"Art and Design: History, Practice and Theory",Z,198
38,10007842,NWES,University of Cumbria,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,85
38,10007842,NWES,University of Cumbria,4,"Psychology, Psychiatry and Neuroscience",Z,10
38,10007842,NWES,University of Cumbria,15,General Engineering,Z,2
38,10007842,NWES,University of Cumbria,17,"Geography, Environmental Studies and Archaeology",Z,12
38,10007842,NWES,University of Cumbria,19,Business and Management Studies,Z,11
38,10007842,NWES,University of Cumbria,20,Law,Z,4
38,10007842,NWES,University of Cumbria,22,Social Work and Social Policy,Z,13
38,10007842,NWES,University of Cumbria,23,Sociology,Z,11
38,10007842,NWES,University of Cumbria,25,Education,Z,98
38,10007842,NWES,University of Cumbria,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,31
38,10007842,NWES,University of Cumbria,29,English Language and Literature,Z,3
38,10007842,NWES,University of Cumbria,32,Philosophy,Z,1
38,10007842,NWES,University of Cumbria,33,Theology and Religious Studies,Z,3
38,10007842,NWES,University of Cumbria,34,"Art and Design: History, Practice and Theory",Z,16
38,10007842,NWES,University of Cumbria,35,"Music, Drama, Dance and Performing Arts",Z,18
68,10001883,EMID,De Montfort University,2,"Public Health, Health Services and Primary Care",Z,15
68,10001883,EMID,De Montfort University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,61
68,10001883,EMID,De Montfort University,4,"Psychology, Psychiatry and Neuroscience",Z,21
68,10001883,EMID,De Montfort University,5,Biological Sciences,Z,4
68,10001883,EMID,De Montfort University,8,Chemistry,Z,8
68,10001883,EMID,De Montfort University,10,Mathematical Sciences,Z,5
68,10001883,EMID,De Montfort University,11,Computer Science and Informatics,Z,46
68,10001883,EMID,De Montfort University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,11
68,10001883,EMID,De Montfort University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,9
68,10001883,EMID,De Montfort University,15,General Engineering,Z,25
68,10001883,EMID,De Montfort University,16,"Architecture, Built Environment and Planning",Z,17
68,10001883,EMID,De Montfort University,18,Economics and Econometrics,Z,12
68,10001883,EMID,De Montfort University,19,Business and Management Studies,Z,65
68,10001883,EMID,De Montfort University,20,Law,Z,34
68,10001883,EMID,De Montfort University,21,Politics and International Studies,Z,1
68,10001883,EMID,De Montfort University,22,Social Work and Social Policy,Z,48
68,10001883,EMID,De Montfort University,25,Education,Z,179
68,10001883,EMID,De Montfort University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,1
68,10001883,EMID,De Montfort University,27,Area Studies,Z,2
68,10001883,EMID,De Montfort University,29,English Language and Literature,Z,21
68,10001883,EMID,De Montfort University,30,History,Z,16
68,10001883,EMID,De Montfort University,34,"Art and Design: History, Practice and Theory",Z,83
68,10001883,EMID,De Montfort University,35,"Music, Drama, Dance and Performing Arts",Z,34
68,10001883,EMID,De Montfort University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,18
68,10001883,EMID,De Montfort University,N/A,UoA not recorded,Not recorded,1
57,10007851,EMID,University of Derby,2,"Public Health, Health Services and Primary Care",Z,7
57,10007851,EMID,University of Derby,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,85
57,10007851,EMID,University of Derby,4,"Psychology, Psychiatry and Neuroscience",Z,32
57,10007851,EMID,University of Derby,5,Biological Sciences,Z,22
57,10007851,EMID,University of Derby,7,Earth Systems and Environmental Sciences,Z,17
57,10007851,EMID,University of Derby,10,Mathematical Sciences,Z,4
57,10007851,EMID,University of Derby,11,Computer Science and Informatics,Z,25
57,10007851,EMID,University of Derby,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,15
57,10007851,EMID,University of Derby,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,12
57,10007851,EMID,University of Derby,14,Civil and Construction engineering,Z,7
57,10007851,EMID,University of Derby,15,General Engineering,Z,13
57,10007851,EMID,University of Derby,16,"Architecture, Built Environment and Planning",Z,5
57,10007851,EMID,University of Derby,17,"Geography, Environmental Studies and Archaeology",Z,2
57,10007851,EMID,University of Derby,19,Business and Management Studies,Z,83
57,10007851,EMID,University of Derby,20,Law,Z,27
57,10007851,EMID,University of Derby,21,Politics and International Studies,Z,2
57,10007851,EMID,University of Derby,22,Social Work and Social Policy,Z,7
57,10007851,EMID,University of Derby,23,Sociology,Z,4
